Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
;20.10.;SA;0;7;6;9;4;5;5;11.813.317,50   ;JP;;1.912.029,50   ;9  x   ;90  x   ;822  x   ;8.635  x   ;86.662  x   ;800.330  x   ;;;;
43.;24.10.;MI;2;0;0;2;5;4;4;4.438.786,50   ;JP;;2.208.096,60   ;2  x   ;22  x   ;256  x   ;2.565  x   ;26.971  x   ;253.230  x   ;;;;
;27.10.;SA;5;6;6;7;4;3;8;11.950.276,50   ;1  x   ;2.970.000,00   ;35.180,00   ;6  x   ;85  x   ;882  x   ;8.574  x   ;83.822  x   ;824.731  x   ;;;;
44.;31.10.;MI;3;7;4;0;8;4;8;4.918.200,00   ;1  x   ;270.000,00   ;93.223,90   ;1  x   ;45  x   ;369  x   ;3.854  x   ;35.929  x   ;335.807  x   ;;;;
;03.11.;SA;9;3;5;9;8;8;8;12.590.745,00   ;1  x   ;870.000,00   ;63.026,60   ;15  x   ;113  x   ;1.019  x   ;10.833  x   ;86.548  x   ;865.032  x   ;;;;
45.;07.11.;MI;3;0;1;4;7;0;4;5.746.084,50   ;JP;;446.290,40   ;5  x   ;31  x   ;324  x   ;3.010  x   ;29.971  x   ;336.530  x   ;;;;
;10.11.;SA;6;7;0;3;4;2;7;13.962.898,50   ;2  x   ;670.000,00   ;37.615,70   ;10  x   ;96  x   ;965  x   ;9.695  x   ;95.502  x   ;935.613  x   ;;;;
46.;14.11.;MI;9;4;5;7;3;1;4;6.775.788,00   ;3  x   ;170.000,00   ;0,00   ;unbesetzt;40  x   ;405  x   ;4.103  x   ;39.383  x   ;393.818  x   ;;;;
;17.11.;SA;9;9;3;8;0;3;3;15.780.930,00   ;JP;;1.052.588,00   ;11  x   ;88  x   ;937  x   ;9.061  x   ;96.184  x   ;961.002  x   ;;;;
47.;21.11.;MI;0;8;8;2;3;0;0;9.066.453,00   ;1  x   ;1.570.000,00   ;87.320,40   ;7  x   ;40  x   ;448  x   ;4.648  x   ;47.848  x   ;440.534  x   ;;;;
