Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
VA;2017;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
46.;15.11.;MI;0;1;1;6;8;2;4;5.048.782,50   ;JP;;1.811.454,60   ;1  x   ;18  x   ;165  x   ;1.691  x   ;16.909  x   ;170.214  x   ;;;;
;18.11.;SA;5;4;4;9;9;7;2;12.069.185,00   ;JP;;2.669.573,70   ;5  x   ;31  x   ;403  x   ;4.043  x   ;38.517  x   ;386.463  x   ;;;;
47.;22.11.;MI;8;6;8;9;6;3;1;5.098.745,00   ;JP;;3.032.094,50   ;1  x   ;13  x   ;172  x   ;1.563  x   ;16.055  x   ;153.713  x   ;;;;
;25.11.;SA;2;9;3;2;8;4;4;12.140.267,50   ;JP;;3.895.267,50   ;6  x   ;42  x   ;372  x   ;3.977  x   ;41.090  x   ;404.118  x   ;;;;
48.;29.11.;MI;8;1;5;3;6;5;0;4.948.610,00   ;JP;;4.247.113,70   ;1  x   ;14  x   ;130  x   ;1.370  x   ;13.968  x   ;135.640  x   ;;;;
;02.12.;SA;1;7;4;6;2;6;3;12.255.420,00   ;JP;;5.118.474,10   ;7  x   ;52  x   ;451  x   ;4.716  x   ;46.961  x   ;457.456  x   ;;;;
49.;06.12.;MI;3;8;9;7;8;4;2;5.777.037,50   ;JP;;5.529.221,50   ;1  x   ;19  x   ;183  x   ;1.928  x   ;18.794  x   ;185.146  x   ;;;;
;09.12.;SA;0;5;6;3;3;2;6;13.181.052,50   ;JP;;6.466.394,30   ;8  x   ;49  x   ;502  x   ;5.184  x   ;49.942  x   ;491.141  x   ;;;;
50.;13.12.;MI;7;4;6;5;9;3;1;5.637.102,50   ;1  x   ;6.777.777,00   ;89.415,30   ;unbesetzt;23  x   ;181  x   ;1.731  x   ;17.811  x   ;170.778  x   ;;;;
;16.12.;SA;0;3;5;4;8;9;2;12.938.432,50   ;JP;;1.009.337,90   ;4  x   ;41  x   ;397  x   ;3.963  x   ;39.911  x   ;419.722  x   ;;;;
51.;20.12.;MI;7;6;0;3;1;6;5;5.907.257,50   ;1  x   ;1.377.777,00   ;51.566,90   ;3  x   ;32  x   ;237  x   ;2.554  x   ;25.038  x   ;240.720  x   ;;;;
;23.12.;SA;8;8;5;3;1;3;0;14.392.850,00   ;1  x   ;977.777,00   ;97.121,50   ;5  x   ;42  x   ;369  x   ;3.901  x   ;37.923  x   ;388.176  x   ;;;;
52.;27.12.;MI;0;7;4;6;9;4;6;5.243.597,50   ;JP;;469.941,30   ;3  x   ;26  x   ;181  x   ;2.072  x   ;20.165  x   ;196.540  x   ;;;;
;30.12.;SA;8;0;7;9;2;3;2;13.591.997,50   ;1  x   ;1.377.777,00   ;58.555,30   ;6  x   ;45  x   ;434  x   ;4.452  x   ;44.475  x   ;441.171  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;17   ;;;160   ;1.645   ;15.921   ;160.056   ;1.605.832   ;15.989.498   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
