LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2010
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2010;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
;10.07.;SA;2;19;17;42;7;3;45;6;46.620.578,25;JP;2.331.028,90;5  x  ;372.964,60;29  x  ;40.190,10;1.874  x  ;1.617,00;3.206  x  ;145,4;101.116  x  ;23,1;80.470  x  ;23,1;1.518.603  x  ;6,7
28.;14.07.;MI;28;42;20;11;10;23;16;6;21.157.522,50;JP;3.388.905,00;1  x  ;846.300,90;7  x  ;75.562,50;389  x  ;3.535,30;906  x  ;233,5;24.838  x  ;42,5;29.419  x  ;28,7;480.343  x  ;9,6
;17.07.;SA;29;20;36;11;7;49;46;7;48.217.894,50;JP;5.799.799,70;7  x  ;275.530,80;16  x  ;75.340,40;940  x  ;3.334,20;2.096  x  ;230;54.922  x  ;43,8;60.440  x  ;31,9;1.021.240  x  ;10,3
29.;21.07.;MI;43;17;22;31;20;28;40;1;22.980.240,75;JP;6.948.811,70;JP;919.209,60;14  x  ;41.036,10;390  x  ;3.830,00;1.461  x  ;157,2;22.238  x  ;51,6;38.111  x  ;24,1;446.038  x  ;11,3
;24.07.;SA;15;43;24;4;37;21;8;1;51.567.857,25;JP;9.527.204,50;9  x  ;331.324,80;36  x  ;35.811,00;1.249  x  ;2.683,60;3.496  x  ;147,5;54.829  x  ;47;88.846  x  ;23,2;972.633  x  ;11,6
30.;28.07.;MI;16;20;40;34;33;46;35;1;27.011.352,75;1  x  ;11.958.226,20;unbesetzt;;5  x  ;135.056,70;479  x  ;3.665,40;1.042  x  ;259,2;31.241  x  ;43,2;34.907  x  ;30,9;563.679  x  ;10,5
;31.07.;SA;34;24;46;49;22;25;27;7;48.924.190,50;1  x  ;2.446.209,50;2  x  ;978.483,80;15  x  ;81.540,30;744  x  ;4.274,20;1.798  x  ;272,1;47.253  x  ;51,7;62.254  x  ;31,4;955.827  x  ;11,2
31.;04.08.;MI;28;31;13;30;46;33;11;4;21.497.702,25;JP;1.074.885,10;1  x  ;859.908,00;16  x  ;33.590,10;385  x  ;3.629,40;1.407  x  ;152,7;24.075  x  ;44,6;38.984  x  ;22;453.393  x  ;10,4
;07.08.;SA;32;6;29;33;44;20;19;2;48.280.944,00;1  x  ;3.488.932,30;6  x  ;321.872,90;20  x  ;60.351,10;836  x  ;3.753,90;2.594  x  ;186,1;48.346  x  ;49,9;77.685  x  ;24,8;940.022  x  ;11,2
32.;11.08.;MI;6;3;17;33;7;13;26;2;21.130.699,50;JP;1.056.534,90;6  x  ;140.871,30;37  x  ;14.277,40;2.095  x  ;655,6;2.522  x  ;83,7;59.059  x  ;17,8;55.260  x  ;15,2;726.603  x  ;6,3
