LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2016;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
25.;22.06.;MI;35;43;19;8;41;40;8;21.794.295,00  ;JP;1.394.834,80  ;1  x  ;805.917,70  ;31  x  ;12.998,60  ;211  x  ;5.729,20  ;1.813  x  ;222,20  ;14.844  x  ;54,20  ;36.539  x  ;22,00  ;299.329  x  ;12,10  ;288.627  x  ;;;;
;25.06.;SA;10;34;11;6;44;2;3;44.926.317,00  ;JP;4.270.119,00  ;3  x  ;543.739,60  ;77  x  ;10.592,30  ;662  x  ;3.696,10  ;4.835  x  ;168,60  ;42.891  x  ;38,00  ;92.007  x  ;17,70  ;812.457  x  ;9,00  ;655.137  x  ;;;;
26.;29.06.;MI;44;49;4;5;32;28;4;21.912.232,00  ;JP;5.672.501,80  ;1  x  ;808.571,80  ;30  x  ;13.476,10  ;269  x  ;4.508,70  ;1.914  x  ;211,20  ;16.239  x  ;49,70  ;37.405  x  ;21,60  ;324.244  x  ;11,20  ;293.603  x  ;;;;
;02.07.;SA;30;15;26;6;8;4;9;47.842.551,00  ;JP;8.734.425,00  ;6  x  ;294.215,70  ;141  x  ;6.259,90  ;1.264  x  ;2.094,80  ;5.869  x  ;150,30  ;54.554  x  ;32,30  ;93.205  x  ;18,90  ;857.080  x  ;9,20  ;641.282  x  ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer + Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2016;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
27.;06.07.;MI;16;38;42;4;37;18;0;24.036.223,00  ;JP;10.272.743,20  ;2  x  ;454.460,90  ;41  x  ;11.084,40  ;339  x  ;4.021,70  ;2.166  x  ;209,80  ;20.131  x  ;45,10  ;38.978  x  ;23,30  ;380.448  x  ;10,70  ;278.115  x  ;;;;
;09.07.;SA;44;34;1;49;37;40;7;49.029.883,00  ;JP;13.410.655,70  ;1  x  ;1.805.075,80  ;56  x  ;16.116,70  ;502  x  ;5.393,60  ;3.739  x  ;241,30  ;30.076  x  ;60,00  ;81.757  x  ;22,00  ;626.820  x  ;12,90  ;665.254  x  ;;;;
28.;13.07.;MI;33;27;14;20;41;10;7;25.562.217,00  ;JP;15.046.637,50  ;1  x  ;921.672,10  ;48  x  ;9.600,70  ;387  x  ;3.572,30  ;2.539  x  ;181,50  ;20.295  x  ;45,40  ;49.947  x  ;18,40  ;398.404  x  ;10,40  ;385.681  x  ;;;;
;16.07.;SA;18;22;34;44;30;1;5;50.959.154,00  ;JP;18.308.023,30  ;2  x  ;935.253,50  ;74  x  ;12.638,50  ;590  x  ;4.755,50  ;4.300  x  ;217,50  ;34.433  x  ;54,30  ;87.975  x  ;21,20  ;671.562  x  ;12,50  ;702.624  x  ;;;;
29.;20.07.;MI;18;28;40;1;20;49;5;27.242.397,00  ;JP;20.051.536,70  ;JP;1.004.092,50  ;45  x  ;11.156,50  ;368  x  ;4.092,70  ;2.919  x  ;171,90  ;24.575  x  ;40,80  ;47.150  x  ;21,20  ;386.344  x  ;11,60  ;367.352  x  ;;;;
;23.07.;SA;47;25;29;48;5;43;5;52.870.347,00  ;JP;23.435.238,90  ;3  x  ;978.648,00  ;74  x  ;13.053,00  ;546  x  ;5.307,20  ;4.758  x  ;203,00  ;35.208  x  ;54,80  ;92.809  x  ;20,80  ;712.448  x  ;12,20  ;746.591  x  ;;;;
30.;27.07.;MI;39;5;18;6;17;7;1;29.328.817,00  ;JP;25.312.283,10  ;6  x  ;180.221,80  ;80  x  ;6.758,30  ;742  x  ;2.185,90  ;3.186  x  ;169,70  ;32.010  x  ;33,70  ;55.479  x  ;19,40  ;581.915  x  ;8,30  ;394.811  x  ;;;;
;30.07.;SA;33;6;30;23;13;26;2;56.558.944,00  ;1  x  ;28.932.055,50  ;3  x  ;695.173,40  ;117  x  ;8.912,40  ;1.020  x  ;3.066,90  ;5.521  x  ;188,80  ;57.713  x  ;36,10  ;106.162  x  ;19,60  ;1.052.483  x  ;8,90  ;760.899  x  ;;;;
31.;03.08.;MI;34;26;42;43;21;15;6;22.416.841,00  ;JP;1.434.677,80  ;3  x  ;278.521,90  ;30  x  ;13.926,00  ;226  x  ;5.545,70  ;1.692  x  ;246,90  ;12.994  x  ;64,30  ;33.993  x  ;24,50  ;269.473  x  ;13,90  ;283.617  x  ;;;;
;06.08.;SA;33;26;45;6;47;25;0;46.702.451,00  ;JP;4.423.634,60  ;JP;1.790.049,30  ;49  x  ;18.265,80  ;632  x  ;4.248,50  ;3.071  x  ;291,40  ;38.811  x  ;46,10  ;62.894  x  ;28,40  ;764.527  x  ;10,50  ;492.355  x  ;;;;
