LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;
KW;2002;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;
;15.06.;SA;36;23;5;16;39;37;17;2;73.509.779,25  ;1  x  ;2.931.702,20  ;2  x  ;1.470.195,50  ;23  x  ;79.901,90  ;1.040  x  ;4.594,30  ;3.696  x  ;198,80  ;69.909  x  ;57,80  ;118.395  x  ;34,10  ;1.464.452  x  ;11,00  ;;
25.;19.06.;MI;41;13;14;37;30;42;15;1;23.438.994,75  ;JP;703.169,80  ;3  x  ;312.519,90  ;9  x  ;65.108,30  ;337  x  ;4.520,80  ;970  x  ;241,60  ;18.350  x  ;70,20  ;24.983  x  ;51,60  ;410.661  x  ;12,50  ;;
;22.06.;SA;8;7;49;10;18;27;25;6;72.115.162,50  ;1  x  ;2.866.624,60  ;4  x  ;721.151,60  ;40  x  ;45.071,90  ;1.946  x  ;2.408,70  ;5.254  x  ;137,20  ;104.283  x  ;38,00  ;151.403  x  ;26,10  ;1.825.984  x  ;8,60  ;;
26.;26.06.;MI;41;21;32;42;11;46;43;4;23.268.282,00  ;JP;698.048,40  ;2  x  ;465.365,60  ;21  x  ;27.700,30  ;706  x  ;2.142,20  ;1.681  x  ;138,40  ;33.762  x  ;37,90  ;45.698  x  ;28,00  ;544.000  x  ;9,40  ;;
;29.06.;SA;29;44;30;25;6;5;35;4;73.912.167,75  ;1  x  ;2.915.413,40  ;2  x  ;1.478.243,30  ;18  x  ;102.655,70  ;1.299  x  ;3.698,40  ;3.155  x  ;234,20  ;80.651  x  ;50,40  ;106.552  x  ;38,10  ;1.567.927  x  ;10,30  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2002;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;
KW;2002;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;
27.;03.07.;MI;9;12;13;49;7;14;28;5;23.963.013,75  ;JP;718.890,40  ;2  x  ;479.260,20  ;15  x  ;39.938,30  ;587  x  ;2.653,40  ;1.435  x  ;166,90  ;32.087  x  ;41,00  ;45.266  x  ;29,10  ;571.131  x  ;9,20  ;;
;06.07.;SA;19;45;6;39;13;16;15;8;73.530.240,00  ;1  x  ;2.924.797,60  ;2  x  ;1.470.604,80  ;25  x  ;73.530,20  ;1.494  x  ;3.199,10  ;2.561  x  ;287,10  ;88.668  x  ;46,50  ;84.903  x  ;46,50  ;1.635.686  x  ;9,80  ;;
28.;10.07.;MI;48;47;17;25;4;40;8;2;23.437.962,00  ;1  x  ;703.138,80  ;2  x  ;468.759,20  ;12  x  ;48.829,00  ;651  x  ;2.340,10  ;1.336  x  ;175,40  ;31.981  x  ;40,30  ;37.840  x  ;34,00  ;560.056  x  ;9,20  ;;
;13.07.;SA;2;43;1;21;36;30;20;5;72.762.420,75  ;JP;2.182.872,60  ;2  x  ;1.455.248,40  ;25  x  ;72.762,40  ;941  x  ;5.026,00  ;2.798  x  ;260,00  ;55.198  x  ;72,50  ;86.632  x  ;46,10  ;1.190.100  x  ;13,40  ;;
29.;17.07.;MI;14;21;26;27;28;39;37;4;24.254.322,00  ;JP;2.910.502,20  ;3  x  ;323.390,90  ;10  x  ;60.635,80  ;438  x  ;3.599,30  ;1.135  x  ;213,60  ;25.631  x  ;52,00  ;33.073  x  ;40,30  ;495.972  x  ;10,70  ;;
;20.07.;SA;3;34;24;36;11;31;35;3;74.476.263,75  ;1  x  ;5.144.790,10  ;10  x  ;297.905,00  ;31  x  ;60.061,50  ;1.884  x  ;2.569,50  ;3.900  x  ;190,90  ;103.076  x  ;39,70  ;124.949  x  ;32,70  ;1.826.755  x  ;8,90  ;;
30.;24.07.;MI;42;19;41;11;12;18;21;6;23.661.990,00  ;JP;709.859,70  ;6  x  ;157.746,60  ;11  x  ;53.777,20  ;584  x  ;2.633,60  ;1.261  x  ;187,60  ;28.604  x  ;45,40  ;38.528  x  ;33,70  ;528.558  x  ;9,80  ;;
;27.07.;SA;39;8;10;41;40;26;22;9;72.562.295,25  ;JP;2.886.728,50  ;3  x  ;967.497,20  ;40  x  ;45.351,40  ;1.665  x  ;2.832,70  ;3.642  x  ;199,20  ;90.525  x  ;44,00  ;104.464  x  ;38,20  ;1.648.514  x  ;9,60  ;;
31.;31.07.;MI;26;40;34;16;12;4;20;0;24.635.146,50  ;2  x  ;1.812.891,40  ;12  x  ;82.117,10  ;27  x  ;22.810,30  ;941  x  ;1.701,60  ;2.485  x  ;99,10  ;38.967  x  ;34,70  ;46.072  x  ;29,40  ;596.941  x  ;9,00  ;;
;03.08.;SA;18;27;26;44;7;5;21;8;72.284.899,50  ;2  x  ;1.084.273,40  ;4  x  ;722.848,90  ;22  x  ;82.141,90  ;1.846  x  ;2.545,20  ;3.863  x  ;187,10  ;100.213  x  ;39,60  ;117.061  x  ;33,90  ;1.825.057  x  ;8,70  ;;
32.;07.08.;MI;41;14;38;45;4;9;1;4;23.974.836,75  ;JP;719.245,10  ;2  x  ;479.496,70  ;8  x  ;74.921,30  ;486  x  ;3.206,50  ;1.117  x  ;214,60  ;24.729  x  ;53,30  ;32.441  x  ;40,60  ;489.656  x  ;10,70  ;;
;10.08.;SA;26;9;10;31;34;13;15;2;72.558.250,50  ;JP;2.895.992,60  ;10  x  ;290.233,00  ;33  x  ;54.968,30  ;2.632  x  ;1.791,90  ;3.876  x  ;187,10  ;114.737  x  ;36,50  ;103.684  x  ;36,50  ;1.870.957  x  ;8,50  ;;
33.;14.08.;MI;22;31;11;18;26;1;49;3;24.709.392,00  ;JP;3.637.274,30  ;2  x  ;494.187,80  ;11  x  ;56.157,70  ;667  x  ;2.407,90  ;1.533  x  ;161,10  ;35.650  x  ;38,10  ;43.945  x  ;30,90  ;600.943  x  ;9,00  ;;
;17.08.;SA;20;4;7;5;29;44;1;2;73.764.053,25  ;JP;5.850.195,80  ;5  x  ;590.112,40  ;33  x  ;55.881,80  ;1.555  x  ;3.083,30  ;4.763  x  ;154,80  ;84.609  x  ;47,90  ;144.547  x  ;28,00  ;1.571.965  x  ;10,30  ;;
34.;21.08.;MI;41;15;34;26;22;9;33;0;27.273.068,25  ;JP;6.668.387,80  ;2  x  ;545.461,30  ;8  x  ;85.228,30  ;605  x  ;2.930,10  ;1.254  x  ;217,40  ;28.839  x  ;52,00  ;36.402  x  ;41,20  ;534.967  x  ;11,20  ;;
;24.08.;SA;3;27;25;19;34;16;24;4;78.584.793,75  ;1  x  ;9.025.931,60  ;5  x  ;628.678,30  ;47  x  ;41.800,40  ;2.099  x  ;2.433,50  ;5.078  x  ;154,70  ;119.034  x  ;36,30  ;146.413  x  ;29,50  ;2.015.865  x  ;8,50  ;;
35.;28.08.;MI;13;22;36;37;34;44;19;7;24.014.845,50  ;JP;720.445,30  ;1  x  ;960.593,80  ;5  x  ;120.074,20  ;312  x  ;5.003,00  ;1.073  x  ;223,80  ;21.080  x  ;62,60  ;30.781  x  ;42,90  ;437.181  x  ;12,00  ;;
