Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	24	10	2015	18	6	36	4	29	22	 	2	51172477	14022453,4	Jackpot	710725,9	4	13398,1	72	3520,6	822	222,8	4329	45,2	42596	23,5	81906	11	786822	5	603575
Mi	28	10	2015	47	29	49	1	18	33	 	0	26652110	15728188,4	1	342015,8	3	14250,6	36	3427,7	449	246,6	2080	45,6	22466	27,7	36962	11,3	406287	5	271969
Sa	31	10	2015	29	7	17	26	40	9	 	9	48491609	3103462,9	1	291848,3	6	5612,4	156	1915,8	1371	126,3	6928	28,9	60414	16	109193	8	979736	5	726288
Mi	4	11	2015	12	40	45	24	33	5	 	6	22084125	1413384	Jackpot	198372	4	6011,2	66	2020,7	589	129,8	3055	29,8	26598	16,5	48019	9	394631	5	338759
Sa	7	11	2015	11	4	25	39	17	48	 	4	48138343	4494237,9	1	350155,2	5	4706,3	186	1565	1678	95,9	9121	21,9	79860	15,7	111505	7,8	1004760	5	696111
Mi	11	11	2015	41	28	15	14	25	20	 	3	21890820	1401012,4	Jackpot	810294,7	Jackpot	10949,9	37	5928,9	205	220	1841	57,8	14017	22	36822	12,6	288307	5	288290
Sa	14	11	2015	31	48	29	8	1	24	 	3	48589467	4510738,2	Jackpot	2618965,4	1	17391	52	4888,2	555	251,2	3600	56,1	32208	23,9	75666	12,1	668693	5	619660
Mi	18	11	2015	21	48	33	19	49	9	 	9	23082093	5987992,1	Jackpot	847866,7	Jackpot	8831,9	48	2705,9	470	142,1	2982	34	24889	17,5	48211	9	420948	5	317025
Sa	21	11	2015	12	42	46	23	17	29	 	8	50034586	9190205,6	Jackpot	537084,2	5	9471,9	97	3588,9	768	191,5	4797	45,9	39956	20,9	87553	11,1	741496	5	687907
Mi	25	11	2015	14	43	36	19	46	41	 	9	24503518	10758430,7	Jackpot	937002,8	1	29281,3	16	6417,8	219	335,8	1395	65,1	14386	30,5	30627	13,9	302562	5	262701
Sa	28	11	2015	10	6	3	24	37	47	 	1	51469150	14052456,3	Jackpot	955935,4	2	8690,3	110	2221,3	1291	163,5	5844	31,6	60467	19,8	96535	8,5	1007170	5	664368
Mi	2	12	2015	10	31	12	44	3	26	 	8	28089003	15850152,4	Jackpot	339912,6	3	4810	106	2044,9	748	129,7	3930	28,8	35292	16,3	62195	8,1	563050	5	409885
Sa	5	12	2015	12	29	35	42	47	6	 	7	56417219	19460854,4	1	293650,1	7	8784,4	117	4116,5	749	197,2	5211	51,4	39967	20,4	100378	12,1	761326	5	808479
Mi	9	12	2015	37	3	30	44	48	32	 	4	22855123	1462727,8	Jackpot	855858,3	1	20377,5	21	6262,3	205	248,3	1723	55,1	15515	24,4	35003	11,7	326805	5	281250
Sa	12	12	2015	24	3	43	31	1	6	 	6	48827558	4587691,5	Jackpot	881121,2	2	10245,5	86	3333,3	793	152,7	5769	37,7	46641	16,6	105810	9	872750	5	733278
Mi	16	12	2015	9	27	24	13	21	36	 	3	24079545	6128782,3	1	290483	3	4951,4	88	2118,5	617	136,4	3193	32,7	26626	16,7	51993	9,2	424671	5	356838
Sa	19	12	2015	22	33	10	46	7	1	 	1	49337249	3157583,9	Jackpot	617040,6	3	11715,9	79	2862,5	970	202,5	4570	38,9	47485	22,2	83217	9,7	856110	5	599964
Mi	23	12	2015	21	13	34	47	32	18	 	8	25800983	4808846,8	1	238781,3	4	8378,2	57	2831,3	506	178,9	2669	40	23855	20,4	46733	10,5	409108	5	339595
Sa	26	12	2015	41	22	40	15	19	9	 	5	60247578	3855844,9	Jackpot	360760	6	10932,1	99	3959,5	820	172,2	6285	45,6	47458	17,8	121396	10,5	925905	5	924468
Mi	30	12	2015	14	17	27	45	8	26	 	4	26145609	5529163,8	Jackpot	975973,5	1	9759,7	50	4243,3	345	200,4	2434	47,2	20634	22,5	43367	10,8	403042	5	327950
Sa	2	1	2016	35	47	23	43	30	1	 	8	51061099	8797074,1	Jackpot	1920780,4	Jackpot	16006,5	60	6811,2	423	301,6	3184	69,2	27727	27,2	70503	14,4	597150	5	610967
Mi	6	1	2016	12	3	45	36	27	42	 	0	24651714	10374783,7	Jackpot	717156,9	4	8171	58	2334,5	609	246,8	1920	40	23676	28,3	33423	11	385388	5	253935
Sa	9	1	2016	13	10	31	34	46	48	 	6	51977946	6850686,1	2	478204,8	4	5197,8	184	2071,6	1385	162,5	5882	38,8	49267	20,1	94940	10,7	802815	5	706838
Mi	13	1	2016	14	18	46	35	25	19	 	0	22216919	1421882,8	Jackpot	429917	2	25289,2	17	6934,1	186	369,3	1164	63,6	13499	33,3	25767	12,6	304907	5	217647
Sa	16	1	2016	21	31	34	23	39	9	 	8	48139217	4502792,6	1	350345,8	5	6082,3	144	2110,5	1245	139,7	6267	32,9	53121	17,7	98690	9,3	839210	5	694281
Mi	20	1	2016	12	14	15	19	7	46	 	3	21557851	1379702,4	Jackpot	783677,3	1	10311,5	38	4452,7	264	204,5	1916	47	16670	19,5	40144	10,3	339522	5	312490
Sa	23	1	2016	27	26	40	16	2	25	 	0	47297223	4406724,6	Jackpot	450399,7	4	9286,5	97	3029,5	892	210,6	4277	36,5	49310	24	74869	9,5	853205	5	521120
Mi	27	1	2016	14	16	12	47	29	19	 	3	22826804	5867640	Jackpot	839847,1	Jackpot	14480,1	29	5039	250	211,7	1983	52	16123	21,2	39522	11,5	326037	5	310803
Sa	30	1	2016	40	48	33	18	34	23	 	9	50182301	9079307,2	Jackpot	2706136,4	1	12441,9	75	3970,8	705	202,2	4614	42,6	43760	21,2	87817	10,3	807739	5	643318
Mi	3	2	2016	10	47	19	33	18	31	 	8	25311428	10699238,5	Jackpot	304234	3	6613,7	69	1586,3	863	115,3	3957	26,8	34016	15,5	58555	8,1	504066	5	381752
Sa	6	2	2016	25	10	28	16	34	49	 	5	52290101	14045804,9	Jackpot	942222,2	2	11632,3	81	4355,4	649	181,9	5179	46,8	40197	18,4	102040	10,7	788534	5	790808
Mi	10	2	2016	34	38	32	19	2	17	 	4	26936888	15769765,7	Jackpot	197076,3	5	5474,3	90	1712,7	863	133,8	3682	29,6	33184	17,7	55491	8,5	517421	5	378133
Sa	13	2	2016	45	20	18	30	43	32	 	8	55133659	9649159,9	2	678959	3	10083,5	101	3540,3	863	203,9	4994	47,4	42946	21,4	95126	11,4	800133	5	733901
Mi	17	2	2016	24	39	38	26	32	35	 	3	22570156	1444489,9	Jackpot	821301,8	1	8927,1	46	3365,9	366	158,3	2593	37,7	21784	17,3	47258	9,4	391829	5	325514
