SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
;13.07.;SA;5;5;7;7;8;1;5.562.028,75   ;3  x   ;31  x   ;338  x   ;3.401  x   ;33.995  x   ;338.463  x   ;;5;7;7;8;1;5562028,75;3;31;338;3401;33995;338463
29.;17.07.;MI;9;2;0;7;8;4;2.286.917,50   ;unbesetzt;8  x   ;141  x   ;1.498  x   ;14.949  x   ;154.085  x   ;;;;;;;;;;;;;
;20.07.;SA;3;6;9;8;5;8;5.450.538,75   ;6  x   ;47  x   ;483  x   ;4.834  x   ;48.065  x   ;439.450  x   ;;;;;;;;;;;;;
30.;24.07.;MI;2;3;6;5;6;9;2.241.481,25   ;3  x   ;21  x   ;156  x   ;1.629  x   ;15.696  x   ;141.239  x   ;;;;;;;;;;;;;
;27.07.;SA;4;6;9;0;5;5;5.358.475,00   ;12  x   ;37  x   ;437  x   ;4.502  x   ;48.636  x   ;445.873  x   ;;;;;;;;;;;;;
31.;31.07.;MI;2;1;1;7;6;3;2.389.970,00   ;1  x   ;17  x   ;183  x   ;1.896  x   ;18.911  x   ;182.778  x   ;;;;;;;;;;;;;
;03.08.;SA;8;4;5;0;7;2;5.642.615,00   ;5  x   ;40  x   ;386  x   ;3.502  x   ;37.632  x   ;372.902  x   ;;;;;;;;;;;;;
32.;07.08.;MI;7;5;6;4;0;9;2.303.855,00   ;4  x   ;11  x   ;134  x   ;1.245  x   ;12.927  x   ;149.139  x   ;;;;;;;;;;;;;
;10.08.;SA;5;2;1;3;5;5;5.496.022,50   ;3  x   ;40  x   ;493  x   ;4.947  x   ;50.058  x   ;463.687  x   ;;;;;;;;;;;;;
33.;14.08.;MI;9;5;5;6;4;2;2.397.127,50   ;2  x   ;15  x   ;161  x   ;1.641  x   ;15.927  x   ;157.658  x   ;;;;;;;;;;;;;
