 5 16 20 29 30 |  2  7 | 0.000 1.217 1.855 1.125 1.070 0.975 1.236 1.210 1.015 0.958 1.232 1.021 (2017, 12, 1)
 7 20 35 42 44 |  3  7 | 0.000 0.193 0.442 1.059 0.917 0.811 1.457 1.548 0.984 0.887 1.599 1.021 (2019, 8, 16)
 3 11 13 15 23 |  1  9 | 5.075 2.220 6.706 0.767 1.342 1.633 1.065 0.903 1.205 1.455 0.840 1.023 (2017, 5, 26)
 8 11 23 41 42 |  6  8 | 0.000 0.731 0.209 0.780 1.035 0.974 0.960 1.000 1.046 0.995 0.992 1.025 (2017, 5, 5)
 3 21 22 33 47 |  2  9 | 0.000 1.000 1.000 1.387 1.030 1.074 1.239 1.156 1.043 1.073 1.119 1.025 (2019, 9, 13)
14 16 26 34 38 |  2  8 | 0.000 2.293 1.048 1.957 1.419 1.296 1.493 1.309 1.120 1.072 1.298 1.026 (2015, 12, 4)
 3  4 17 41 47 |  2  5 | 6.467 0.000 0.462 0.834 0.868 0.900 1.082 1.160 0.953 0.953 1.160 1.026 (2017, 11, 17)
 3  7 16 18 25 |  2 10 | 0.000 1.081 1.852 0.896 1.343 1.587 0.881 0.829 1.135 1.433 0.793 1.027 (2017, 3, 3)
 3 19 26 29 36 |  4  9 | 7.146 0.447 0.255 0.794 0.897 0.979 0.966 0.961 1.031 1.073 0.933 1.028 (2016, 1, 22)
 1  6 11 17 38 |  4  8 | 0.000 0.220 1.006 1.284 0.948 1.008 1.193 1.216 1.018 1.034 1.240 1.028 (2019, 4, 26)
15 19 20 45 49 |  7  8 | 0.000 1.185 0.000 0.885 0.835 0.740 0.823 0.877 0.927 0.825 0.901 1.030 (2019, 10, 4)
10 25 35 37 43 |  5  8 | 0.000 0.473 0.270 0.807 0.996 0.852 1.261 1.301 0.995 0.922 1.245 1.034 (2016, 2, 5)
 9 11 15 36 43 |  8  9 | 4.292 1.073 1.226 0.877 1.003 0.984 0.770 0.778 1.029 0.972 0.778 1.034 (2020, 5, 8)
11 19 27 32 42 |  5  9 | 0.000 1.122 1.282 1.543 1.288 1.201 1.126 1.004 1.119 1.117 0.945 1.034 (2015, 12, 18)
12 23 37 41 46 |  3  7 | 5.969 1.492 0.213 2.016 1.049 0.870 1.692 1.659 1.029 0.904 1.649 1.034 (2015, 9, 4)
10 19 24 30 39 |  2  4 | 0.000 1.196 0.598 0.808 0.996 0.989 0.972 1.014 1.008 0.984 0.994 1.037 (2019, 11, 15)
 1  7 27 28 41 |  2  6 | 0.000 1.416 0.270 0.872 0.852 0.835 1.023 1.146 0.981 0.998 1.170 1.042 (2015, 8, 14)
 8  9 33 34 36 |  3  9 | 0.000 1.052 0.601 0.873 0.818 0.858 1.058 1.269 0.927 0.890 1.243 1.042 (2015, 12, 25)
