     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
06.01.1957; ;23;31;17;11;26;38;--;40; ;       ;      ; 12.542.516,50;         6;   261.302,00;        --;           --;       812;     1.930,50;    36.748;        42,60;   556.451;         2,80;          ;             ;          ;             ;          ;             ;          ;             
13.01.1957; ;20; 4;16;19;17;15;--;28; ;       ;      ; 12.825.478,50;         4;   400.796,00;        --;           --;       705;     2.274,00;    18.920;        84,50;   425.259;         3,70;          ;             ;          ;             ;          ;             ;          ;             
20.01.1957; ; 6;47; 7;33; 3;12;--; 2; ;       ;      ; 13.543.152,00;         1;   500.000,00;         3;   400.575,00;       572;     2.944,00;    36.502;        46,30;   670.727;         2,50;          ;             ;          ;             ;          ;             ;          ;             
27.01.1957; ; 2;39; 6; 9;28;49;--;20; ;       ;      ; 14.475.723,00;         1;   500.000,00;        16;    85.801,00;       441;     3.959,00;    29.155;        62,00;   537.977;         3,30;          ;             ;          ;             ;          ;             ;          ;             
03.02.1957; ;12; 6;39;30;43;34;--;14; ;       ;      ; 15.299.259,00;         7;   273.201,00;        --;           --;       301;     6.353,50;    20.182;        94,50;   448.116;         4,20;          ;             ;          ;             ;          ;             ;          ;             
10.02.1957; ;31;49;18; 9;17;19;--;30; ;       ;      ; 15.264.487,00;         1;   500.000,00;        13;   111.409,50;       603;     3.097,50;    41.360;        46,10;   774.735;         2,40;          ;             ;          ;             ;          ;             ;          ;             
17.02.1957; ; 1;31;42;35; 9;15;--;48; ;       ;      ; 15.920.144,00;         7;   284.288,00;        --;           --;       348;     5.718,00;    21.505;        92,50;   475.636;         4,10;          ;             ;          ;             ;          ;             ;          ;             
24.02.1957; ;15;16;28;43;23; 2;--;48; ;       ;      ; 15.713.816,00;         4;   491.056,50;        --;           --;       455;     4.316,50;    26.654;        73,50;   534.944;         3,60;          ;             ;          ;             ;          ;             ;          ;             
03.03.1957; ;36; 9;34; 4;11;45;--; 8; ;       ;      ; 16.056.010,50;         2;   500.000,00;        11;    95.269,00;       528;     3.723,50;    36.016;        55,50;   599.964;         3,30;          ;             ;          ;             ;          ;             ;          ;             
10.03.1957; ; 2;36;45; 7;35;18;--;29; ;       ;      ; 15.859.528,00;        24;    82.601,50;        --;           --;       605;     3.276,50;    30.458;        65,00;   572.692;         3,40;          ;             ;          ;             ;          ;             ;          ;             
17.03.1957; ; 3;14;35;24;44;32;--;47; ;       ;      ; 15.938.307,50;         7;   284.612,50;        --;           --;     1.110;     1.794,50;    40.102;        49,60;   595.016;         3,30;          ;             ;          ;             ;          ;             ;          ;             
24.03.1957; ;18;48;22;45;31;14;--;20; ;       ;      ; 15.551.719,00;         1;   500.000,00;         1;   500.000,00;       272;    10.617,00;    18.060;       107,50;   416.048;         4,60;          ;             ;          ;             ;          ;             ;          ;             
31.03.1957; ;47;20;30;44;27;26;--;35; ;       ;      ; 16.245.590,00;         2;   500.000,00;        --;           --;       125;    24.491,00;    12.466;       162,50;   347.620;         5,80;          ;             ;          ;             ;          ;             ;          ;             
07.04.1957; ; 2;40;31;14;48;18;--;36; ;       ;      ; 15.946.804,50;         8;   249.168,50;        --;           --;       789;     2.526,00;    47.363;        42,00;   514.094;         3,80;          ;             ;          ;             ;          ;             ;          ;             
14.04.1957; ;39;18; 6;28;44;15;--; 5; ;       ;      ; 16.097.760,00;         6;   335.370,00;        --;           --;       835;     2.409,50;    38.571;        52,00;   626.048;         3,20;          ;             ;          ;             ;          ;             ;          ;             
